Cn1c2c(c(=O)[nH]c1=O)n(c(n2)N1CC[N@H+](CC1)C)C[C@@H](c1ccccc1)O	ZINC02380521
Cn1c2c(c(=O)[nH]c1=O)n(c(n2)N1CC[N@H+](CC1)C)C[C@H](c1ccccc1)O	ZINC02380525
CCCNC(=O)c1c2c(nc3ccccc3n2)n(c1N)c1cc(ccc1OC)OC	ZINC02389981
CCCNC(=O)c1c2c(nc3ccccc3n2)n(c1N)c1ccc(cc1OC)OC	ZINC02395599
CCCNc1nc2c(n1C[C@@H](COc1ccccc1)O)c(=O)n(c(=O)n2C)C	ZINC02408672
CCCNc1nc2c(n1C[C@H](COc1ccccc1)O)c(=O)n(c(=O)n2C)C	ZINC02408673
Cn1c2c(c(=O)[nH]c1=O)n(c(n2)NCCCO)CCOc1ccccc1	ZINC02411286
CCCNC(=O)c1c2c(nc3ccccc3n2)n(c1N)c1cc(ccc1OC)C	ZINC02437843
CCOCCCNC(=O)c1c2c(nc3ccccc3n2)n(c1N)c1cc(ccc1OC)OC	ZINC02438190
Cn1c2c(c(=O)[nH]c1=O)n(c(n2)NCCO)C[C@@H](COc1ccc(cc1)Cl)O	ZINC02475335
Cn1c2c(c(=O)[nH]c1=O)n(c(n2)NCCO)C[C@H](COc1ccc(cc1)Cl)O	ZINC02475336
Cn1c2c(c(=O)[nH]c1=O)n(c(n2)NCCCO)Cc1ccc(cc1)Cl	ZINC02485213
C(C[C@@H](C(=O)N[C@@H](CC(=O)[O-])C(=O)[O-])[NH3+])C[NH3+]	ZINC02522561
Cn1c2c(c(=O)n(c1=O)C)n(c(n2)NCCCO)C[C@@H](COc1ccccc1)O	ZINC02701961
Cn1c2c(c(=O)n(c1=O)C)n(c(n2)NCCCO)C[C@H](COc1ccccc1)O	ZINC02701963
CCCCn1c2c(=O)[nH]c(=O)n(c2nc1NCCc1ccc(c(c1)OC)OC)C	ZINC03212986
CCCCN(c1c(n(c(=O)[nH]c1=O)CCC)N)C(=O)[C@H]1CC(=O)N(C1)c1ccc2c(c1)OCCO2	ZINC03328298
CCCCN(c1c(n(c(=O)[nH]c1=O)CCC)N)C(=O)[C@@H]1CC(=O)N(C1)c1ccc2c(c1)OCCO2	ZINC03328300
Cc1c2ccccc2oc1C(=O)N(Cc1ccccc1)c1c(n(c(=O)[nH]c1=O)CCOC)N	ZINC03345953
CCCCN(c1c(n(c(=O)[nH]c1=O)CCC)N)C(=O)c1cc2ccccc2o1	ZINC03435234
CCCCn1c(c(c(=O)[nH]c1=O)N(CC)C(=O)c1cc2ccccc2o1)N	ZINC03486528
CCCCn1c(c(c(=O)[nH]c1=O)N(CC)C(=O)Cc1coc2c1ccc(c2)OC)N	ZINC03528723
[C@H]([C@H]([C@H](C(=O)[O-])O)O)([C@H](C(=O)[O-])O)O	ZINC03581021
[C@H]([C@@H]([C@@H](C(=O)[O-])O)O)([C@@H](C(=O)[O-])O)O	ZINC03860635
C[N@H+]1CCN(CC1)c1nc2c(=O)[nH]cnc2n1[C@H]1[C@H]([C@@H]([C@@H](O1)CO)O)O	ZINC03898167
[C@H]([C@H]([C@@H](C(=O)[O-])O)O)([C@H](C(=O)[O-])O)O	ZINC03940374
C[C@H]1CCN(CC1)c1nc2c(=O)[nH]cnc2n1[C@@H]1[C@@H]([C@@H]([C@@H](O1)CO)O)O	ZINC03984111
C[C@@H]1CCN(CC1)c1nc2c(=O)[nH]cnc2n1[C@@H]1[C@H]([C@@H]([C@@H](O1)CO)O)O	ZINC03984112
C[C@@H]1CCN(CC1)c1nc2c(=O)[nH]cnc2n1[C@H]1[C@H]([C@@H]([C@@H](O1)CO)O)O	ZINC03984113
C[C@@H]1CCN(CC1)c1nc2c(ncnc2n1[C@H]1[C@@H]([C@@H]([C@H](O1)CO)O)O)N	ZINC03999089
c1[nH]c(=O)c2c(n1)n(c(n2)N1CCCCC1)[C@@H]1[C@@H]([C@@H]([C@@H](O1)CO)O)O	ZINC04018108
c1[nH]c(=O)c2c(n1)n(c(n2)N1CCCCC1)[C@H]1[C@@H]([C@@H]([C@@H](O1)CO)O)O	ZINC04018109
c1[nH]c(=O)c2c(n1)n(c(n2)N1CCCCC1)[C@@H]1[C@H]([C@@H]([C@@H](O1)CO)O)O	ZINC04018110
c1[nH]c(=O)c2c(n1)n(c(n2)N1CCCCC1)[C@H]1[C@H]([C@@H]([C@@H](O1)CO)O)O	ZINC04018111
Cc1cccc(c1)OC[C@@H](Cn1c2c(=O)[nH]c(=O)n(c2nc1NCCCOC)C)O	ZINC04038233
Cc1cccc(c1)OC[C@H](Cn1c2c(=O)[nH]c(=O)n(c2nc1NCCCOC)C)O	ZINC04038235
Cc1ccc(cc1)OC[C@@H](Cn1c2c(=O)[nH]c(=O)n(c2nc1NCCc1ccccc1)C)O	ZINC04038237
Cc1ccc(cc1)OC[C@H](Cn1c2c(=O)[nH]c(=O)n(c2nc1NCCc1ccccc1)C)O	ZINC04038239
Cn1c2c(c(=O)[nH]c1=O)n(c(n2)NCc1ccco1)CCc1ccc(cc1)OC	ZINC04038332
Cn1c2c(c(=O)n(c1=O)C)n(c(n2)NCCNC(=O)c1ccco1)Cc1ccc(cc1Cl)Cl	ZINC04039475
CCCCCCNc1nc2c(n1C[C@@H](CO)O)c(=O)[nH]c(=O)n2C	ZINC04095256
CCCCCCNc1nc2c(n1C[C@H](CO)O)c(=O)[nH]c(=O)n2C	ZINC04095257
c1ccc(cc1)CNc1nc2c(=O)[nH]c(nc2n1[C@@H]1[C@@H]([C@@H]([C@@H](O1)CO)O)O)N	ZINC04100242
c1ccc(cc1)CNc1nc2c(=O)[nH]c(nc2n1[C@H]1[C@@H]([C@@H]([C@@H](O1)CO)O)O)N	ZINC04100246
c1ccc(cc1)CNc1nc2c(=O)[nH]c(nc2n1[C@@H]1[C@H]([C@@H]([C@@H](O1)CO)O)O)N	ZINC04100250
c1ccc(cc1)CNc1nc2c(=O)[nH]c(nc2n1[C@H]1[C@H]([C@@H]([C@@H](O1)CO)O)O)N	ZINC04100253
Cn1c2c(c(=O)n(c1=O)C)n(c(n2)NCCNC(=O)c1ccco1)Cc1ccccc1Cl	ZINC04102989
Cc1ccccc1OC[C@@H](Cn1c2c(nc1NCCCO)n(c(=O)n(c2=O)C)C)O	ZINC04135779
Cc1ccccc1OC[C@H](Cn1c2c(nc1NCCCO)n(c(=O)n(c2=O)C)C)O	ZINC04135780
CCCNc1nc2c(n1C[C@@H](COc1ccccc1C)O)c(=O)n(c(=O)n2C)C	ZINC04135784
CCCNc1nc2c(n1C[C@H](COc1ccccc1C)O)c(=O)n(c(=O)n2C)C	ZINC04135785
Cn1c2c(c(=O)[nH]c1=O)n(c(n2)N1CCOCC1)C[C@@H](c1ccccc1)O	ZINC04170274
Cn1c2c(c(=O)[nH]c1=O)n(c(n2)N1CCOCC1)C[C@H](c1ccccc1)O	ZINC04170275
c1cc(oc1)C(=O)N1CC[C@@H](C[C@H]1C(=O)NCCC(=O)N)NC(=O)c1cnccn1	ZINC04221729
CC(C)[N@@H+]1CCN(CC1)c1nc2c(n1[C@@H]1[C@@H]([C@@H]([C@@H](O1)CO)O)O)nc([nH]c2=O)N	ZINC04256217
CC(C)[N@@H+]1CCN(CC1)c1nc2c(n1[C@@H]1[C@H]([C@@H]([C@@H](O1)CO)O)O)nc([nH]c2=O)N	ZINC04256218
CC(C)[N@@H+]1CCN(CC1)c1nc2c(n1[C@H]1[C@H]([C@@H]([C@@H](O1)CO)O)O)nc([nH]c2=O)N	ZINC04256219
c1[nH]c(=O)c2c(n1)n(c(n2)N1CCOCC1)[C@@H]1[C@@H]([C@@H]([C@@H](O1)CO)O)O	ZINC04257481
c1[nH]c(=O)c2c(n1)n(c(n2)N1CCOCC1)[C@@H]1[C@H]([C@@H]([C@@H](O1)CO)O)O	ZINC04257483
c1[nH]c(=O)c2c(n1)n(c(n2)N1CCOCC1)[C@H]1[C@H]([C@@H]([C@@H](O1)CO)O)O	ZINC04257484
Cn1c2c(c(=O)[nH]c1=O)n(c(n2)NCCCO)CCCOc1ccccc1	ZINC04317955
Cn1c2c(c(=O)[nH]c1=O)n(c(n2)NCCCOC)CCCOc1ccccc1	ZINC04317959
Cn1c2c(c(=O)[nH]c1=O)n(c(n2)NCCCOC)CC(=O)c1ccccc1	ZINC04317975
C[C@@H](Cn1c2c(=O)[nH]c(=O)n(c2nc1NCCc1ccccc1)C)O	ZINC04318048
C[C@H](Cn1c2c(=O)[nH]c(=O)n(c2nc1NCCc1ccccc1)C)O	ZINC04318049
C[C@@H](Cn1c2c(=O)[nH]c(=O)n(c2nc1N1CC[N@H+](CC1)C)C)O	ZINC04318057
C[C@H](Cn1c2c(=O)[nH]c(=O)n(c2nc1N1CC[N@H+](CC1)C)C)O	ZINC04318058
CC[N@@H+]1CCN(CC1)c1nc2c(n1C[C@@H](C)O)c(=O)[nH]c(=O)n2C	ZINC04318059
CC[N@H+]1CCN(CC1)c1nc2c(n1C[C@H](C)O)c(=O)[nH]c(=O)n2C	ZINC04318061
C[C@@H](Cn1c2c(=O)[nH]c(=O)n(c2nc1NCCCOC)C)O	ZINC04318066
C[C@H](Cn1c2c(=O)[nH]c(=O)n(c2nc1NCCCOC)C)O	ZINC04318067
CCCCNc1nc2c(n1C[C@@H](COc1cccc(c1)CC)O)c(=O)[nH]c(=O)n2C	ZINC04371027
CCCCNc1nc2c(n1C[C@H](COc1cccc(c1)CC)O)c(=O)[nH]c(=O)n2C	ZINC04371030
Cc1ccc(cc1C)OC[C@@H](Cn1c2c(=O)[nH]c(=O)n(c2nc1NCCCO)C)O	ZINC04371092
Cc1ccc(cc1C)OC[C@H](Cn1c2c(=O)[nH]c(=O)n(c2nc1NCCCO)C)O	ZINC04371095
CCCCNc1nc2c(n1C[C@@H](COc1ccc(cc1)Cl)O)c(=O)[nH]c(=O)n2C	ZINC04371108
CCCCNc1nc2c(n1C[C@H](COc1ccc(cc1)Cl)O)c(=O)[nH]c(=O)n2C	ZINC04371110
Cn1c2c(c(=O)[nH]c1=O)n(c(n2)NCCCOC)CCc1ccc(cc1)OC	ZINC04386271
CC[N@@H+]1CCN(CC1)c1nc2c(n1C[C@@H](c1ccccc1)O)c(=O)[nH]c(=O)n2C	ZINC04454213
CC[N@H+]1CCN(CC1)c1nc2c(n1C[C@H](c1ccccc1)O)c(=O)[nH]c(=O)n2C	ZINC04454214
c1[nH]c(=O)c2c(n1)n(c(n2)N1CCCCC1)[C@H]1[C@@H]([C@@H]([C@H](O1)CO)O)O	ZINC04457928
Cn1c2c(c(=O)n(c1=O)C)n(c(n2)NCCCO)Cc1ccccc1OC	ZINC04540569
C[C@H]1CCN(CC1)c1nc2c(ncnc2n1[C@@H]1[C@@H]([C@@H]([C@@H](O1)CO)O)O)N	ZINC04663416
C[C@H]1CCN(CC1)c1nc2c(ncnc2n1[C@H]1[C@@H]([C@@H]([C@@H](O1)CO)O)O)N	ZINC04663417
C[C@@H]1CCN(CC1)c1nc2c(ncnc2n1[C@@H]1[C@H]([C@@H]([C@@H](O1)CO)O)O)N	ZINC04663418
C[C@@H]1CCN(CC1)c1nc2c(ncnc2n1[C@H]1[C@H]([C@@H]([C@@H](O1)CO)O)O)N	ZINC04663419
Cn1c2c(c(=O)n(c1=O)C)n(c(n2)NCCCOC)Cc1ccc(cc1)OC	ZINC04785610
C[C@@H](Cn1c2c(=O)[nH]c(=O)n(c2nc1N1CC[N@H+](CC1)Cc1ccccc1)C)O	ZINC04911611
C[C@H](Cn1c2c(=O)[nH]c(=O)n(c2nc1N1CC[N@H+](CC1)Cc1ccccc1)C)O	ZINC04911614
C[C@@H](Cn1c2c(=O)[nH]c(=O)n(c2nc1NCCCO)C)O	ZINC04911643
C[C@H](Cn1c2c(=O)[nH]c(=O)n(c2nc1NCCCO)C)O	ZINC04911647
CCCCNc1nc2c(n1C[C@@H](COc1ccccc1C)O)c(=O)n(c(=O)n2C)C	ZINC05027676
CCCCNc1nc2c(n1C[C@H](COc1ccccc1C)O)c(=O)n(c(=O)n2C)C	ZINC05027677
CCCNC(=O)c1c2c(nc3ccccc3n2)n(c1N)c1ccc(cc1)OCC	ZINC05033110
Cn1c2c(c(=O)[nH]c1=O)n(c(n2)N1CCCCC1)C[C@H](CO)O	ZINC05071882
CCCNC(=O)c1c2c(nc3ccccc3n2)n(c1N)c1ccc(cc1)C(=O)C	ZINC05100823
CCCNC(=O)c1c2c(nc3ccccc3n2)n(c1N)c1ccc(c(c1)Cl)OC	ZINC05100925
CCCNC(=O)c1c2c(nc3ccccc3n2)n(c1N)c1cccc(c1)C(=O)C	ZINC05112054
CCCCNc1nc2c(ncnc2n1[C@@H]1[C@@H]([C@@H]([C@@H](O1)CO)O)O)N	ZINC05138983
CCCCNc1nc2c(ncnc2n1[C@@H]1[C@H]([C@@H]([C@@H](O1)CO)O)O)N	ZINC05138985
CCCCNc1nc2c(ncnc2n1[C@H]1[C@@H]([C@@H]([C@@H](O1)CO)O)O)N	ZINC05138987
CCCCNc1nc2c(ncnc2n1[C@H]1[C@H]([C@@H]([C@@H](O1)CO)O)O)N	ZINC05138991
C[C@H]1CCN(CC1)c1nc2c(=O)[nH]c(nc2n1[C@@H]1[C@@H]([C@@H]([C@@H](O1)CO)O)O)N	ZINC05222700
C[C@H]1CCN(CC1)c1nc2c(=O)[nH]c(nc2n1[C@H]1[C@@H]([C@@H]([C@@H](O1)CO)O)O)N	ZINC05222711
C[C@@H]1CCN(CC1)c1nc2c(=O)[nH]c(nc2n1[C@@H]1[C@H]([C@@H]([C@@H](O1)CO)O)O)N	ZINC05222723
C[C@@H]1CCN(CC1)c1nc2c(=O)[nH]c(nc2n1[C@H]1[C@H]([C@@H]([C@@H](O1)CO)O)O)N	ZINC05222733
C[N@@H+]1CCN(CC1)c1nc2c(=O)[nH]c(nc2n1[C@@H]1[C@@H]([C@@H]([C@@H](O1)CO)O)O)N	ZINC05224204
C[N@H+]1CCN(CC1)c1nc2c(=O)[nH]c(nc2n1[C@H]1[C@@H]([C@@H]([C@@H](O1)CO)O)O)N	ZINC05224212
C[N@H+]1CCN(CC1)c1nc2c(=O)[nH]c(nc2n1[C@@H]1[C@H]([C@@H]([C@@H](O1)CO)O)O)N	ZINC05224220
C[N@H+]1CCN(CC1)c1nc2c(=O)[nH]c(nc2n1[C@H]1[C@H]([C@@H]([C@@H](O1)CO)O)O)N	ZINC05224227
Cc1ccccc1Nc1nc(nc(n1)N)Cn1cnc2c3ccccc3oc2c1=O	ZINC05225421
Cn1c2c(c(=O)n(c1=O)CCOC)n1c(n2)N(CCC1)c1ccc(c(c1)Cl)OC	ZINC05252006
CCCCn1c2c(=O)[nH]c(=O)n(c2nc1NCCCc1ccc(c(c1)OC)OC)C	ZINC05295862
Cn1c2c(c(=O)[nH]c1=O)n(c(n2)N1CC[N@H+](CC1)C)C[C@@H](COc1ccc(cc1)OC)O	ZINC05313130
Cn1c2c(c(=O)[nH]c1=O)n(c(n2)N1CC[N@H+](CC1)C)C[C@H](COc1ccc(cc1)OC)O	ZINC05313133
Cc1ccccc1OC[C@@H](Cn1c2c(=O)[nH]c(=O)n(c2nc1N1CC[N@H+](CC1)C)C)O	ZINC05313232
Cc1ccccc1OC[C@H](Cn1c2c(=O)[nH]c(=O)n(c2nc1N1CC[N@H+](CC1)C)C)O	ZINC05313239
Cn1c2c(c(=O)[nH]c1=O)n(c(n2)N1CC[N@H+](CC1)C)C[C@@H](COc1ccc(cc1Cl)Cl)O	ZINC05313266
Cn1c2c(c(=O)[nH]c1=O)n(c(n2)N1CC[N@H+](CC1)C)C[C@H](COc1ccc(cc1Cl)Cl)O	ZINC05313269
Cn1c2c(c(=O)[nH]c1=O)n(c(n2)N1CC[N@H+](CC1)C)C[C@@H](COc1ccc(cc1)Br)O	ZINC05313297
Cn1c2c(c(=O)[nH]c1=O)n(c(n2)N1CC[N@H+](CC1)C)C[C@H](COc1ccc(cc1)Br)O	ZINC05313299
Cn1c2c(c(=O)[nH]c1=O)n(c(n2)NCCCn1ccnc1)C[C@@H](COc1ccccc1)O	ZINC05356637
Cn1c2c(c(=O)[nH]c1=O)n(c(n2)NCCCn1ccnc1)C[C@H](COc1ccccc1)O	ZINC05356648
Cn1c2c(c(=O)n(c1=O)C)n(c(n2)N1CC[N@H+](CC1)C)C[C@@H](COc1ccc(cc1)Cl)O	ZINC05360103
Cn1c2c(c(=O)n(c1=O)C)n(c(n2)N1CC[N@H+](CC1)C)C[C@H](COc1ccc(cc1)Cl)O	ZINC05360107
Cc1ccccc1OC[C@@H](Cn1c2c(nc1N1CC[N@H+](CC1)C)n(c(=O)n(c2=O)C)C)O	ZINC05360325
Cc1ccccc1OC[C@H](Cn1c2c(nc1N1CC[N@H+](CC1)C)n(c(=O)n(c2=O)C)C)O	ZINC05360331
CCc1ccc(cc1)OC[C@@H](Cn1c2c(=O)[nH]c(=O)n(c2nc1N1CC[N@H+](CC1)C)C)O	ZINC05360467
CCc1ccc(cc1)OC[C@H](Cn1c2c(=O)[nH]c(=O)n(c2nc1N1CC[N@H+](CC1)C)C)O	ZINC05360472
C[C@@H]1CCN(CC1)c1nc2c(n1[C@@H]1[C@H]([C@H]([C@H](O1)CO)O)O)[nH]cnc2=O	ZINC05444240
Cc1ccc(cc1)OC[C@@H](Cn1c2c(=O)[nH]c(=O)n(c2nc1NCCCOC)C)O	ZINC05459944
Cc1ccc(cc1)OC[C@H](Cn1c2c(=O)[nH]c(=O)n(c2nc1NCCCOC)C)O	ZINC05459948
Cc1cccc(c1)OC[C@@H](Cn1c2c(=O)[nH]c(=O)n(c2nc1NCCCO)C)O	ZINC05460433
Cc1cccc(c1)OC[C@H](Cn1c2c(=O)[nH]c(=O)n(c2nc1NCCCO)C)O	ZINC05460442
Cc1ccc(cc1)OC[C@@H](Cn1c2c(=O)[nH]c(=O)n(c2nc1NCCC[NH3+])C)O	ZINC05460894
Cc1ccc(cc1)OC[C@H](Cn1c2c(=O)[nH]c(=O)n(c2nc1NCCC[NH3+])C)O	ZINC05460903
c1ccc(cc1)CNc1nc2c(n1[C@H]1[C@@H]([C@H]([C@@H](O1)CO)O)O)[nH]cnc2=O	ZINC05483952
