Cc1ccccc1OC[C@H](Cn1c2c(nc1N1CCOCC1)n(c(=O)n(c2=O)C)C)O	ZINC00625781
Cn1c2c(c(=O)[nH]c1=O)n(c(n2)NCC[NH+](C)C)C[C@@H](COc1ccccc1)O	ZINC00625890
Cn1c2c(c(=O)[nH]c1=O)n(c(n2)N1CCOCC1)C[C@H](COc1ccc(cc1)Cl)O	ZINC00625892
Cn1c2c(c(=O)[nH]c1=O)n(c(n2)NCC[NH+](C)C)C[C@H](COc1ccccc1)O	ZINC00625893
Cn1c2c(c(=O)[nH]c1=O)n(c(n2)N1CCCCCC1)C[C@@H](COc1ccccc1)O	ZINC00625903
Cn1c2c(c(=O)[nH]c1=O)n(c(n2)N1CCCCCC1)C[C@H](COc1ccccc1)O	ZINC00625904
Cn1c2c(c(=O)[nH]c1=O)n(c(n2)NC1CCCCC1)C[C@@H](COc1ccc(cc1)Cl)O	ZINC00625905
Cn1c2c(c(=O)[nH]c1=O)n(c(n2)N1CCCCCC1)C[C@H](COc1ccc(cc1)Cl)O	ZINC00625907
Cn1c2c(c(=O)[nH]c1=O)n(c(n2)NC1CCCCC1)C[C@H](COc1ccc(cc1)Cl)O	ZINC00625908
Cn1c2c(c(=O)[nH]c1=O)n(c(n2)N1CCOCC1)C[C@H](COc1ccccc1)O	ZINC00625911
Cc1ccccc1OC[C@@H](Cn1c2c(nc1NC1CCCCC1)n(c(=O)n(c2=O)C)C)O	ZINC00625938
Cc1ccccc1OC[C@H](Cn1c2c(nc1NC1CCCCC1)n(c(=O)n(c2=O)C)C)O	ZINC00625942
Cn1c2c(c(=O)n(c1=O)C)n(c(n2)NC1CCCCC1)C[C@@H](CO)O	ZINC00625962
Cn1c2c(c(=O)n(c1=O)C)n(c(n2)NC1CCCCC1)C[C@H](CO)O	ZINC00625966
Cn1c2c(c(=O)[nH]c1=O)n(c(n2)NCCc1ccccc1)C[C@@H](COc1ccc(cc1)OC)O	ZINC00625969
Cn1c2c(c(=O)[nH]c1=O)n(c(n2)NCCc1ccccc1)C[C@H](COc1ccc(cc1)OC)O	ZINC00625974
Cn1c2c(c(=O)n(c1=O)C)n(c(n2)N1CCCCCC1)C[C@H](COc1ccc(cc1)Cl)O	ZINC00625987
Cn1c2c(c(=O)[nH]c1=O)n(c(n2)NCCc1ccccc1)C[C@@H](COc1ccccc1)O	ZINC00626019
Cn1c2c(c(=O)[nH]c1=O)n(c(n2)NCCc1ccccc1)C[C@H](COc1ccccc1)O	ZINC00626022
Cn1c2c(c(=O)n(c1=O)C)n(c(n2)NCCc1ccccc1)C[C@@H](CO)O	ZINC00626027
Cn1c2c(c(=O)n(c1=O)C)n(c(n2)NCCc1ccccc1)C[C@H](CO)O	ZINC00626028
Cn1c2c(c(=O)n(c1=O)C)n(c(n2)NCc1ccccc1)CCc1ccccc1	ZINC00626041
